"Edit Source","Modifier la source"
"Edit Source: %name","Modifier la source: %name"
"Source with source code ""%value"" does not exist.","La source avec le code source ""%value"" n'existe pas."
"Sources","Sources"
"List","Liste"
"Manage Sources","Gérer les sources"
"[ID: %value] The Source does not exist.","[ID: %value] La source n'existe pas."
"[ID: %value] %message","[ID: %value] %message"
"Please correct the sent data.","Veuillez corriger les données envoyées."
"New Source","Nouvelle source"
"Wrong request.","Demande erronée."
"The Source has been saved.","La source a été enregistrée."
"The Source does not exist.","La Source n'existe pas."
"Could not save Source.","Impossible d'enregistrer la source."
"The Stock has been deleted.","La réserve a bien été effacé."
"Edit Stock","Modifier le stock"
"Edit Stock: %name","Modifier le stock: %name"
"Stock with id ""%value"" does not exist.","Le stock avec l'Id ""%value"" n'existe pas."
"Manage Stock","Gérer les stocks"
"[ID: %value] The Stock does not exist.","[ID: %value] Le Stock n'existe pas."
"[ID: %1] ","[ID: %1] "
"You deleted %1 Stock(s).","Vous avez supprimé %1 enregistrement(s)."
"New Stock","Nouveau stock"
"The Stock has been saved.","Le stock a bien été enregistré."
"The Stock does not exist.","Le Stock n'existe pas."
"Could not save Stock.","Impossible d'enregistrer le stock."
"Assigned Sources:","Sources affectées:"
"Are you sure you want to delete this stock?","Voulez-vous vraiment supprimer ce stock?"
"Inventory","Inventaire"
"Stocks","Réserves"
"Source Information","Informations sur la source"
"Back","Retour"
"Reset","Réinitialiser"
"General","Général"
"Code","Code"
"Name","Nom"
"Is Enabled","Est activé"
"Description","La description"
"Latitude","Latitude"
"Longitude","Longitude"
"Contact Info","Informations de contact"
"Contact Name","Nom du contact"
"Email","Email"
"Phone","Téléphone"
"Fax","Fax"
"Address Data","Adresse"
"Country","Pays"
"State/Province","Région/Département"
"City","Ville"
"Street","Rue"
"Postcode","Postcode"
"Add New Source","Ajouter une nouvelle source"
"Enabled","Activé"
"Disabled","Désactivé"
"Stock Information","Information sur le stock"
"Assign Sources","Attribuer des sources"
"Assigned Sources","Sources affectées"
"Priority","Priorité"
"Unassign","Annuler l'assignation"
"Done","Terminé"
"Add New Stock","Ajouter un nouveau stock"
"Delete selected items?","Supprimer les éléments sélectionnés ?"
"Delete items","Supprimer des éléments"
"Delete","Supprimer"
"ID","ID"
